teks,label,clean
"""""@southernseaaa SiapApun boleh melindungi negaranya masing masing boleh mengkritik pemerintahnya dpr nya baik itu orang kaya atau orang miskin tapi penjarahan penyerangan pengrusakan pembakaran tetap tidak dibenarkan yg mengkritisi pemerintah perlu dilindungi siapapun yg bisa""""",positive,siapa lindung negara masing masing kritik perintah dpr nya bagus orang kaya orang miskin penjarahan serang rusa pembakaran tetap tidak benar kritisi perintah perlu lindung siapa
"""""@qouayajaut @on_thursdayyy @garcondepapua @narkosun Rakyat mana yg lu bela? Postingan terkait penjarahan ini Lu mau jawaban apa? Suara Rakyatnya yg mana? Coba dari lama tanggapan lu cuma anggap pemerintah yg salah sementara lu dah ngapain?""""",negative,rakyat mana kamu bela postingan kait penjarahan kamu mau jawab apa suara rakyat mana coba lama tanggap kamu cuma anggap perintah salah kamu dah ngapain
"""""Ada khatib jum'atan malah nge-gaslight rakyat indon dpt pemerintah yg ga baik krn rakyatnya jg ga baik katanya demo penjarahan dll eh tolol itu semua akibat dr kecacatan pemerintah indon penjarahan itupun udh banyak yg bahas kl pelaku2nya bayaran buat bikin rusuh """"",negative,khatib jum atan malah nge gaslight rakyat indon perintah ga bagus rakyat ga bagus kata demo penjarahan eh tolol semua akibat cacat perintah indon penjarahan itu banyak bahas kalau pelaku2nya bayar bikin rusuh
"""""@jhonsitorus_19 Ya Allah.. Orang bebal jadi DPR wajar kalo rakyat marah sesungguhnya enggak marah ke Menkeu tetapi pd Anggota DPR AROGAN spt ANDA. salah saya mendoakan ti TDK terjadi penjarahan di rumah Anda.. Krn ternyata anda lebih miskin ADAB. Kalo bukan Sri Mulyani sdh habis ekonomi Ind""""",negative,allah orang bebal jadi dpr wajar kalo rakyat marah sungguh enggak marah menkeu tetapi anggota dpr arogan salah doa ti tidak jadi penjarahan rumah nyata lebih miskin adab kalo bukan sri mulyani habis ekonomi ind
"""""@sutanmangara Si opung ini acap kali berucap kasar tapi knapa rumahnya aman dari penjarahan..?!!!""""",negative,si opung acap kali ucap kasar knapa rumah aman penjarahan
"""""@KRathalos97 @Graminale Ya ada yang nunggang aksi tsb banyak banget dari kaum rasis dan mau genosida Tionghoa sebenarnya ada yang mau ciptakan penjarahan dimana-mana juga ada intinya aksi kemaren banyak yang nyusup dan mahasiswanya mendiamkan itu fakta""""",negative,nunggang aksi tsb banyak banget kaum ras mau genosida tionghoa benar mau cipta penjarahan mana inti aksi kemaren banyak nyusup mahasiswa diam fakta
"""""@AriPrim77224080 @on_thursdayyy @garcondepapua @narkosun Gw juga udah ngasi peringatan gw ga mendukung penjarahan bahkan gw ga ikut demo makanya gw nanya ke lu apa yang seharus nya di lakukan Berbenah Menurut gw ga tepat aja yang ga paham demokrasi itu lu bang""""",positive,ngasi ingat ga dukung penjarahan bahkan ga ikut demo makanya nanya kamu apa harus nya laku benah ga tepat ga paham demokrasi kamu bang
"""""Gimana dg penjarahan yg dilakukan negara dg pemberian konsesi hutan tambang yg merusak lingkungan hutan adat masyarakat adat yg tergusur sumber penghidupan rusak sumber air minumnya tercemar sakit yg ditimbulkan oleh kerusakan lingkungan akibat tambang.. @Dandhy_Laksono""""",negative,gimana penjarahan laku negara beri konsesi hutan tambang perusakan lingkung hutan adat masyarakat adat gusur sumber hidup rusak sumber air minum cemar sakit timbul rusa lingkung akibat tambang
"""""Siang ini di mesjid sebelah khotbahnya tentang tidak membenarkan penjarahan apa pun alasannya walaupun kita nilai itu harta diperoleh dgn cara haram. Bapak this is one of the best things I hear this week.""""",positive,siang mesjid belah khotbah tidak benar penjarahan apa alas walaupun nilai harta oleh cara haram bapak this is one of bagus things i hear this week
"""""Dan kesombongan @DPR_RI harus ada penjarahan harta mereka? ternyata betul mereka lebih sayang harta dari pada Rakyat yang telah memilihnya. Sumber: YouTube https://t.co/draQGqJ2rB""""",negative,sombong penjarahan harta nyata betul lebih sayang harta rakyat pilih sumber youtube
"""""Yah kirain takut DOSA :) Takutan dipidana ya daripada dosa Polisi telah menangkap 6 tersangka penjarahan alias RAMPOK https://t.co/1Yal1DLOO1""""",neutral,yah kirain takut dosa takut pidana dosa polisi tangkap 6 sangka penjarahan alias perampokan
"""""Warga Kembalikan Kasur Hasil Penjarahan di Rumah Uya Kuya https://t.co/BaMDK3NI0Z""""",positive,warga kembali kasur hasil penjarahan rumah uya kuya
"""""Analisis: Penumpang Gelap Pesta Penjarahan dan Narasi yang Dikunci Negara Dasco bilang DPR tidak menemui mahasiswa karena situasi tak kondusif dan adanya penumpang gelap. Sri Mulyani curhat bahwa penjarahan rumah pejabat terlihat seperti orang sedang berpesta . Sekilas https://t.co/mOKUhGEqMw""""",neutral,analisis tumpang gelap pesta penjarahan narasi kunci negara dasco bilang dpr tidak temu mahasiswa situasi tak kondusif ada tumpang gelap sri mulyani curhat penjarahan rumah jabat lihat orang sedang pesta kilas
"""""@CNNIndonesia Pemilik akun Tiktok ini adalah salah satu pelaku yang ikut menjarah rumah Eko Patrio dan kelompok mereka juga mencoba melakukan penjarahan di rumah Puan tapi bisa digagalkan oleh aparat keamanan Tangkap pemilik akun Tiktok ini untuk mencari tau siapa dalang yg menyuruh mereka https://t.co/ddMKDQSYK3""""",neutral,milik akun tiktok salah satu laku ikut penjarahan rumah eko patrio kelompok coba laku penjarahan rumah puan gagal aparat aman tangkap milik akun tiktok cari tau siapa dalang suruh
"""""Sri Mulyani Kenang Lukisan yang Dijarah: Runtuh Rasa Perikemanusiaan #riauonline #riauonlinecoid #penjarahan #penjarahanrumahsrimulyani #Srimulyani https://t.co/OemjUWp5HT""""",neutral,sri mulyani kenang kamukisan penjarahan runtuh rasa perikemanusiaan
"""""Polisi Tangkap Terduga Penghasut Penjarahan Rumah Uya Kuya https://t.co/kf3frOEdIE""""",neutral,polisi tangkap duga hasut penjarahan rumah uya kuya
"""""@Gojekmilitan Pemilik akun Tiktok ini adalah salah satu pelaku yang ikut menjarah rumah Eko Patrio dan kelompok mereka juga mencoba melakukan penjarahan di rumah Puan tapi bisa digagalkan oleh aparat keamanan Tangkap pemilik akun Tiktok ini untuk mencari tau siapa dalang yg menyuruh mereka https://t.co/e1p9B3Zwaa""""",neutral,milik akun tiktok salah satu laku ikut penjarahan rumah eko patrio kelompok coba laku penjarahan rumah puan gagal aparat aman tangkap milik akun tiktok cari tau siapa dalang suruh
"""""Tindakan anarkis bahkan penjarahan itu tidak dibenarkan secara moral &amp"";"" hukum. Lebih tidak benar lagi jika tindakan itu untuk mengkerdilkan arti demonstrasi yg sebenarnya. - Mario Tebu - https://t.co/hdN0tdCOV0""""",positive,tindak anarkis bahkan penjarahan tidak benar moral amp hukum lebih tidak benar tindak kerdil arti demonstrasi benar mario tebu
"""""@jhonsitorus_19 Pemilik akun Tiktok ini adalah salah satu pelaku yang ikut menjarah rumah Eko Patrio dan kelompok mereka juga mencoba melakukan penjarahan di rumah Puan tapi bisa digagalkan oleh aparat keamanan Tangkap pemilik akun Tiktok ini untuk mencari tau siapa dalang yg menyuruh mereka https://t.co/Zwc7Ibl5lw""""",neutral,milik akun tiktok salah satu laku ikut penjarahan rumah eko patrio kelompok coba laku penjarahan rumah puan gagal aparat aman tangkap milik akun tiktok cari tau siapa dalang suruh
"""""@adamjaylen5 @ARSIPAJA Sri Mulyani sebagai Menkeu memang sering dikritik soal kebijakan pajak yang dianggap membebani rakyat seperti reformasi PPN dan cukai. Tapi insiden penjarahan rumahnya pada 31 Agustus 2025 adalah tindak kriminal terpisah dan dia menyatakan kehilangan rasa aman serta""""",negative,sri mulyani menkeu memang sering kritik soal bijak pajak anggap beban rakyat reformasi ppn cukai insiden penjarahan rumah 31 agustus 2025 tindak kriminalitas pisah nyata hilang rasa aman
"""""Senjata laras panjang di rumah Sahroni. Ditemukan saat terjadi penjarahan. https://t.co/UF7pFY4rJ0""""",neutral,senjata laras panjang rumah sahroni temu jadi penjarahan
"""""@great_fleet Hujan salah polisi Halte dibakar salah intel Fasilitas umum dicoret coret salah provokator Penjarahan rumah dpr salah siapa?""""",neutral,hujan salah polisi halte pembakaran salah intel fasilitas umum coret coret salah provokator penjarahan rumah dpr salah siapa
"""""@CNNIndonesia Saya tidak membenarkan penjarahan tapi kya lebay sampe kiriman bunga segala Rakyat tuh Ditindas dgn pajak kebijakan yg ga pro rakyat duit pajak dipake buat kemewahan para dewan para pejabat . Gila hormat gila harta pejabat di negri konoha""""",negative,tidak benar penjarahan kya lebay sampe kirim bunga segala rakyat tuh tindas pajak bijak ga pro rakyat duit pajak dipake mewah dewan jabat gila hormat gila harta jabat negri konoha
"""""baru sadar ngerepost konten day 1 penjarahan sahroni di akun client setelah 5 hari """"",neutral,baru sadar ngerepost konten day 1 penjarahan sahroni akun client 5 hari
"""""@CNNIndonesia Kita yg waras pasti punya empaty utk bu SM dan sangat menyesalkan kejadian tsb ttp ya engga usah lebay pakai karangan bunga segala. Malah jadi ke kanak2an. Kita bersyukur Bu SM dan keluarga tdk ada di lokasi ketika terjadi penjarahan (yg msh sisakan tanda tanya knp bisa terjadi""""",negative,waras punya empaty bu sama sangat sesal jadi tsb tetap engga usah lebay pakai karang bunga segala malah jadi kanak2an syukur bu sama keluarga tidak lokasi jadi penjarahan sisa tanda tanya knp jadi
"""""@mosesmovingon @Alurisjad Demi apaseh gak sia-sia gw ngabisin robux semalem..? Bisa terhindar dari penjarahan ? """"",positive,apaseh tidak sia sia habis robux semalem hindar penjarahan
"""""@gandjar_bondan @Yusrilihza_Mhd Setuju dgn Prof Yusril hadapi aja proses hukumnya. Biar adu argument di pengadilan. Delpedro di duga mengajak masyarakt anak2 skolah melakukn anarkis penjarahan pembakaran fasilitas umum melemparkan bom molotov ke aparat ini fakta tujuan nya jelas membuat Keos seperti 1998.""""",neutral,tuju prof yusril hadap proses hukum biar adu argument adil delpedro duga ajak masyarakt anak skolah melakukn anarkis penjarahan pembakaran fasilitas umum lempar bom molotov aparat fakta tuju nya jelas buat keos 1998
"""""@swaraqalbu @ARSIPAJA Lebih aneh lagi banyak yg berbahagia dgn penjarahan. Ga usah bicara halal dan haram dulu etika ketimuran kita sudah hilang. Miris...""""",negative,lebih aneh banyak bahagia penjarahan ga usah bicara halal haram dulu etika timur hilang miris
"""""SEDIKITPUN saya TIDAK SIMPATI walaupun juga tidak membenarkan PENJARAHAN.. #MenteriTanpaNurani cc @KemenkeuRI @DPR_RI https://t.co/xcBiJnxrJR""""",negative,sedikit tidak simpati walaupun tidak benar penjarahan cc
"""""@anaanne6 @Dennysiregar7 Betul yg bahaya adalah tehnik Brainwash digunakan untuk memprovokasi gerakan mahasiswa... Skenario kedua menggerakkan massa anarkis anak2 labil Skenario ketiga menggerakkan massa utk melakukan Penjarahan""""",neutral,betul bahaya tehnik brainwash guna provokasi gera mahasiswa skenario dua gerak massa anarkis anak labil skenario tiga gerak massa laku penjarahan
"""""Bandung Semarang Surabaya Makassar Aceh dan Yogyakarta. Di beberapa kota kericuhan tersebut diikuti dengan aksi pembakaran dan penjarahan.""""",neutral,bandung semarang surabaya makassar aceh yogyakarta beberapa kota ricuh sebut ikut aksi pembakaran penjarahan
"""""@ARSIPAJA Penjarahan emang tidak dapat dibenarkan. Lalu Ibu menaikkan pajak terus-menerus apa bisa disebut berperikemanusiaan juga? Korupsi sudah ribuann triliyun masih bisa disebut berperikemanusiaan?""""",positive,penjarahan emang tidak benar lalu ibu naik pajak terus terus apa sebut perikemanusiaan korupsi ribuann triliyun sebut perikemanusiaan
"""""Penjarahan Properti Pejabat: Refleksi Kesenjangan Penguasa dan Rakyat https://t.co/d7IoKZ632J""""",neutral,penjarahan properti jabat refleksi senjang kuasa rakyat
"""""Anggota DPR RI non aktif Uya Kuya memutuskan untuk memaafkan salah satu terduga pelaku seorang ibu lanjut usia atau lansia yang ikut membawa salah satu barang dari rumahnya. https://t.co/bHvHbtfSKD""""",positive,anggota dpr ri non aktif uya kuya putus maaf salah satu duga laku orang ibu lanjut usia lansia ikut bawa salah satu barang rumah
"""""Radya Pustaka mengalami penjarahan dalam senyap bertahun2. Siapa pelakunya?""""",neutral,radya pustaka alami penjarahan senyap tahun siapa laku
"""""@sfruitnanas Sama halnya dengan pajak. Penjarahan atas nama hukum.""""",negative,sama hal pajak penjarahan atas nama hukum
"""""(((Rasa aman hilang akibat penjarahan))) Congratulations on experiencing being CHINDO Tapi kami dijarah karna provokasi elit. Harta yang diambil adalah dari hasil keringat sendiri. Anda dijarah karena buah dosa anda sendiri merampok rakyat! We are not the same!""""",negative,rasa aman hilang akibat penjarahan congratulations on experiencing being chindo penjarahan karna provokasi elit harta ambil hasil keringat sendiri penjarahan buah dosa sendiri perampokan rakyat we are not the same
"""""Agustus kemarin kalau tidak ada kasus Affan sang martir juga pengrusakan yang massif penjarahan dan ontran-ontran besar lainnya percayalah DPR pejabat atau mereka yang berkuasa tidak akan berubah.""""",neutral,agustus kemarin kalau tidak kasus affan sang martir rusa massif penjarahan ontran ontran besar lain percaya dpr jabat kuasa tidak ubah
"""""BIN Bais TNI Intel Polri menyelidiki dalang kericuhan dan penjarahan Demo: https://t.co/mg3JulsDMp""""",neutral,bin bais tni intel polri selidik dalang ricuh penjarahan demo
"""""@RadioElshinta HUKUM MANDUL DI +62 TEMBANG PILIH HUKUM KORUPTOR!!! SHG PENGRUSAKAN&amp""; PENJARAHAN RUMAH PEJABAT MERUPAKAN JAWABAN RAKYAT YG MURKA!!!SEMUA ADA SEBAB AKIBAT!!IBARAT LU MAKAN MAKA LU AKAN KENTUT&amp;""EEK!!! KL HUKUM MANDUL MAKA HUKUM RAKYAT BICARA!!!SESIMPLE ITU!!!""""",negative,hukum mandul 62 tembang pilih hukum koruptor shg rusa amp penjarahan rumah jabat rupa jawab rakyat murka semua akibat ibarat kamu makan kamu kentut amp eek kalau hukum mandul hukum rakyat bicara sesimple
"""""@yorselves Gw ga rela demo dan penjarahan udahan..knpa mbah ini bisa lolos dgn selamat """"",neutral,ga rela demo penjarahan udahan knpa mbah lolos selamat
"""""@RadioElshinta SUKA/TDK PENGRUSAKAN RUMAH PEJABAT ADLH HAL BARU&amp"";""MERUPAKAN SHOCK TERAPI YG EFEKTIF MSLH PENJARAHAN ADLH EFEK SAMPING!!! BEGITU JUGA DEMO MEMILIKI EFEK SAMPING RUSUH!!! BILA TDK INGIN HAL DIATAS TJD MAKA URUS RAKYAT DGN BAIK BUKAN MALAH EKPLOITASI ALAM UTK KAKAYAAN PRIBADI!!!""""",negative,suka tidak rusa rumah jabat adlh baru amp rupa shock terapi efektif mslh penjarahan adlh efek samping demo milik efek samping rusuh bila tidak atas tjd urus rakyat bagus bukan malah ekploitasi alam kakayaan pribadi
"""""Provokator Penjarahan Rumah Uya Kuya Melalui TikTok Ditangkap Polres Metro Jaktim https://t.co/EhIrlSiOiM""""",neutral,provokator penjarahan rumah uya kuya lalu tiktok tangkap polres metro jaktim
"""""@IndominusBlue @txtdrpemerintah pun setelah ditantang soal debat dan face to face sama mba salsa dia jg malah kabur ke luar negeri. muncul ancaman penjarahan sahroninya bilang rumah dia terbuka. jadi ya? coba kalau nggak semakin nantangin masyarakat pun nggak akan semena-mena buat jarah properti pribadi.""""",neutral,tantang soal debat face to face sama mba salsa malah kabur kamuar negeri muncul ancam penjarahan sahroninya bilang rumah buka jadi coba kalau tidak makin nantangin masyarakat tidak semena mena jarah properti pribadi
"""""Ketidakadilan ekonomi dan hukum adalah biang keladi keresahan dan aksi-aksi demo jalanan. https://t.co/XiPmm9Rc4E""""",neutral,ketidakadilan ekonomi hukum biang keladi resah aksi aksi demo jalan
"""""@CYFat @cimoltriplex @qonsberry @randomable_ Wiranto sebagai Panglima ABRI saat kerusuhan Mei 1998 bertanggung jawab atas respons militer yang dinilai lambat dan tidak memadai oleh Tim Gabungan Pencari Fakta (TGPF). Ada dugaan keterlibatan elit militer dalam memprovokasi kekerasan termasuk penjarahan dan pembunuhan yang""""",negative,wiranto panglima abri kerusuhan mei 1998 tanggung jawab atas respons militer nilai lambat tidak pada tim gabung cari fakta tgpf duga libat elit militer provokasi keras masuk penjarahan bunuh
"""""@grok @cimoltriplex @qonsberry @randomable_ Apa keterlibatan wiranto di kerusuhan 98 khususnya penjarahan pembunuhan dan pemerkosaan massal?""""",neutral,apa libat wiranto kerusuhan 98 khusus penjarahan bunuh perkosa massal
"""""@txtdrimedia Yah inilah sifat manusia Indonesia tll mudah memaafkan. 2029 dia nyalon dpr lagi kemungkinan besar akan terpilih lg dg menggunakan drama penjarahan ini.""""",positive,yah ini sifat manusia indonesia tll mudah maaf 2029 nyalon dpr mungkin besar pilih lg guna drama penjarahan
"""""Sesuai dengan Pasal 363 KUHP pelaku aksi penjarahan tetap harus diproses pidana meskipun barang hasil jarahan telah dikembalikan. #DemokrasiTanpaAnarki #IndonesiaReset #selamatkanindonesia #tuntutanrakyat #bbtvi #GSTReforms2025 https://t.co/6jbdG208aN""""",positive,sesuai pasal 363 kuhp laku aksi penjarahan tetap proses kriminalitas meski barang hasil jarah kembali
"""""Viral di media sosial 'black mamba' diklaim ditemukan di rumah politisi Ahmad Sahroni saat penjarahan. Ternyata foto tersebut berasal dari insiden lama. https://t.co/EmV1yFTyoh""""",neutral,viral media sosial black mamba klaim temu rumah politis ahmad sahroni penjarahan nyata foto sebut asal insiden lama
"""""@DS_yantie Ratusan juta merasakan penjarahan selama 10 th lbh buk..""""",negative,ratus juta rasa penjarahan lama 10 th lbh buk
"""""Apa Isi Flashdisk Putih Sahroni yang Hilang Saat Penjarahan? NasDem Sampai Buka Suara Begini Di antara deretan barang mewah yang hilang saat rumah politisi NasDem Ahmad Sahroni dijarah massa pada 30 Agustus lalu satu benda kecil justru menjadi pusat misteri dan spekulasi liar https://t.co/dIEGamB40c""""",neutral,apa isi flashdisk putih sahroni hilang penjarahan nasdem buka suara begini deret barang mewah hilang rumah politis nasdem ahmad sahroni penjarahan massa 30 agustus lalu satu benda kecil justru jadi pusat misteri spekulasi liar
"""""@white_lyly @DS_yantie Pesta penjarahan harta rakyat dimulai?""""",negative,pesta penjarahan harta rakyat mulai
"""""@DS_yantie Sy tidak membenarkan penjarahan. Tapi Srimul ente teu mikir knp rakyat berbuat begitu? Ngaca introspeksi.""""",positive,tidak benar penjarahan srimul ente teu mikir knp rakyat buat ngaca introspeksi
"""""Permintaan Maaf Sri Mulyani hingga Barang Jarahan Dikembalikan Warga #riauonline #riauonlinecoid #Srimulyani #penjarahan #penjarahanrumahsrimulyani https://t.co/AJPDZgpB7e""""",positive,minta maaf sri mulyani hingga barang jarah kembali warga
"""""@Ary_PrasKe2 Dia baru masuk politik. Gak paham betapa palsu dan jahatnya orang2 politik. Gak mungkin dia yg hanya joget joget jd sasaran penjarahan kalau tdk ditarget untuk pengalihan atensi. Dari rusuh depan Mako Brimob pindah ke rumah2 target.""""",neutral,baru masuk politik tidak paham betapa palsu jahat orang politik tidak mungkin joget joget jadi sasar penjarahan kalau tidak target alih atensi rusuh depan mako brimob pindah rumah target
"""""@blank0429 PENUSUP DEMO... INI MUNGKIN PROVOKATOR PENJARAHAN""""",neutral,penusup demo mungkin provokator penjarahan
"""""@DS_yantie Menarik pajak kepada rakyat secara masif bukan kah penjarahan juga? Ditambah lg dg ancaman dan keluar saja dr Indonesia atau jangan jadi WNI . Bila belum sadar juga presiden dan menteri serta anggota dewan yg tidak mewakili rakyat perlu merasakan dijarah juga """"",negative,tarik pajak rakyat masif bukan penjarahan tambah lg ancam keluar indonesia jangan jadi wni bila belum sadar presiden menteri anggota dewan tidak wakil rakyat perlu rasa penjarahan
"""""@fadlizon Sebaiknya segala macam benda bersejarah tetap di belanda agar lebih aman dari penjarahan sehingga anak cucu kita dapat melihat di masa akan datang""""",neutral,baik segala macam benda sejarah tetap belanda lebih aman penjarahan anak cucu lihat masa datang
"""""Anisa Bahar angkat bicara soal legitimasi artis di politik setelah penjarahan rumah anggota DPR. Ia menegaskan niat tulusnya untuk bantu masyarakat. https://t.co/Nmsy0TQe6B""""",positive,anisa bahar angkat bicara soal legitimasi artis politik penjarahan rumah anggota dpr tegas niat tulus bantu masyarakat
"""""Maaf bu ya bagaimana kalau rakyat membalikan kata-kata ibu"";"" Para penagih Pajak seperti 'berpesta' mengambil penghasilan upah gaji dan pendapatan rakyat untuk bayar pajak ini dan itu. Saya mengecam Penjarahan karena itu bukan ajaran Islam. https://t.co/M9sIQIA69S""""",positive,maaf bu bagaimana kalau rakyat balik kata kata ibu tagih pajak pesta ambil hasil upah gaji dapat rakyat bayar pajak kecam penjarahan bukan ajar islam
"""""Tuhkan yang real tuh cuma penjarahan saroni. Sisanya ya ikut-ikutan.""""",neutral,tuhkan real tuh cuma penjarahan saron sisa ikut ikut
"""""Delpedro Marhaen Mahasiswa Pembenci Jokowi Sering Muncul Di Youtube Bareng Refly Harun Pecatan Komisaris Kini Tersandung Dugaan Makar Karena Hasut Demonstran Untuk Melakukan Penjarahan Di Rumah Ahmad Sahroni""""",neutral,delpedro marhaen mahasiswa benci jokowi sering muncul youtube bareng refly harun pecat komisaris kini sandung duga makar hasut demonstran laku penjarahan rumah ahmad sahroni
"""""hilih yg penjarahan rumah lu aja settingan kocak sok-sokan takut""""",neutral,hilih penjarahan rumah kamu settingan kocak sok sok takut
"""""Giliran laporan penjarahan properti pejabat langsung deh polisi gercep memang penjarahan tidak dibenarkan.Masalahnya penjarahan yang dialami masyarakat gimana tuh laporan banyak yang tidak diproses wkwkkkwkwk.""""",negative,gilir lapor penjarahan properti jabat langsung deh polisi gercep memang penjarahan tidak benar masalah penjarahan alami masyarakat gimana tuh lapor banyak tidak proses wkwkkwkwk
"""""Artis sekaligus anggota DPR nonaktif Uya Kuya mengalami ketakutan pada beberapa hal gegara penjarahan yang dialaminya. Dia mengaku takut keluar rumah hingga membuka media sosial. Saking takutnya buka media sosial Uya Kuya baru berani melihat video aksi penjarahan di rumahnya https://t.co/dfUQ4h510F""""",negative,artis sekaligus anggota dpr nonaktif uya kuya alami takut beberapa gegara penjarahan alam aku takut keluar rumah hingga buka media sosial saking takut buka media sosial uya kuya baru berani lihat video aksi penjarahan rumah
"""""@NovalAssegaf Dikit amat dibandingkan dengan penjarahan tikus Tiongkok yang bebas mencuri wilayah RI serta tambang emas dll puluhan ribu trilyun rupiah per tahun sepuluh tahun terakhir berlanjut hingga akhir jaman tanpa pajak pasti bisa dibayar""""",negative,dikit banding penjarahan tikus tiongkok bebas curi wilayah ri tambang emas puluh ribu trilyun rupiah per tahun puluh tahun akhir lanjut hingga akhir jaman pajak bayar
"""""BREAKING NEWS SU Mahasiswa Unnes Tersangka Penjarahan DPRD Jepara TV 42 Inch Jadi Buktinya https://t.co/gU1nUwA8ti""""",neutral,breaking news su mahasiswa unnes sangka penjarahan dprd jepara tv 42 inch jadi bukti
"""""Dan sekarang fokus pemerintah seringnya cuma soal menindak aksi penjarahan rumah pejabat. Anying lah mau pengalihan isu apa gimana? Mau playing victim? Itu tuntutan rakyat beresin dulu blog""""",negative,sekarang fokus perintah sering cuma soal tindak aksi penjarahan rumah jabat anying lah mau alih isu apa gimana mau playing victim tuntut rakyat resin dulu blog
"""""Uya Kuya Ajukan Restorative Justice Terhadap Pelaku Penjarahan Rumahnya https://t.co/FHLNjfAvLJ""""",positive,uya kuya aju restorative justice laku penjarahan rumah
"""""Harusnya mbok yo mikir juga. Penjarahan di rumah-rumah koruptor itu terjadi bukan karena ga ada sebab. Instrospeksi knp rakyat bisa semarah itu. Baru gitu doang udh ngerasa kayak paling disakiti. Itu ga seberapa dgn penderitaan rakyat. Kalo ga mau diamuk warga kerja yg bener""""",negative,harus mbok yo mikir penjarahan rumah rumah koruptor jadi bukan ga instrospeksi knp rakyat marah baru gitu ngerasa kayak paling sakit ga berapa derita rakyat kalo ga mau amuk warga kerja bener
"""""Polisi tangkap terduga provokator penjarahan rumah Uya Kuya https://t.co/dzNJC0UpkH https://t.co/KtnI06ZqhG""""",neutral,polisi tangkap duga provokator penjarahan rumah uya kuya
"""""Koruptor di negeri ini gak pernah dihukum secara adil. Biar aja sekarang gue melihat penjarahan rumah koruptor itu sebagai ganti bentuk hukuman yang cukup setimpal buat mereka.""""",negative,koruptor negeri tidak pernah hukum adil biar sekarang gue lihat penjarahan rumah koruptor ganti bentuk hukum cukup timpal
"""""@JancukSaciladh @randomable_ Kenapa rumah para penjahat yg jadi pejabat lainn6a tidak diserbu penjarah ? Bisa jadi yang menggerakkan penjarahan adalah penjahat negara""""",negative,rumah jahat jadi jabat lainn6a tidak serbu jarah jadi gerak penjarahan jahat negara
"""""@elisa_jkt penumpang gelap yg terorganir aksi spontanitas maupun targetan yg berujung penjarahan. 3.aksi masa disemua daerah terdeteksi gerakannya mulai meningkat menjadi kerusuhan 4.secara nasional eskalasinya potensial menjadi chaos 5.""""",neutral,tumpang gelap terorganir aksi spontanitas maupun target ujung penjarahan 3 aksi masa semua daerah deteksi gera mulai tingkat jadi kerusuhan 4 nasional eskalasi potensial jadi chaos 5
"""""Sebagian penjarahan yg terjadi bukan dilakukan oleh warga. Kalaupun itu warga yg ngelakuin dan yang dijarah adalah rumah koruptor yaudahlah ya. Anggaplah itu bentuk kemarahan rakyat karena terus-terusan ga didengar dan kelaparan. Mental pejabat kita memang harus dikasarin dulu""""",negative,bagi penjarahan jadi bukan laku warga kalaupun warga ngelakuin penjarahan rumah koruptor yaudahlah anggap bentuk marah rakyat terus terus ga dengar lapar mental jabat memang dikasarin dulu
"""""Lu sok soal penjarahan artis jadi tragis. Mending lu jadi anggota DPRD ya """"",negative,kamu sok soal penjarahan artis jadi tragis mending kamu jadi anggota dprd
"""""@AstrianElsa @kafka_____ Bung Tomo dulu tak bersenjata hanya modal mic di radio. Org2 jd berani hadapi tank dg golok. Jd jgn remehkan mulut ya.. mulut kasar jg bs mancing bunuh org penjarahan dll.""""",neutral,bung tomo dulu tak senjata modal mic radio org jadi berani hadap tank golok jadi jgn remeh mulut mulut kasar bs mancing bunuh org penjarahan
"""""Polisi tangkap terduga provokator penjarahan rumah Uya Kuya https://t.co/QAQG6LuBAq""""",neutral,polisi tangkap duga provokator penjarahan rumah uya kuya
"""""@Kanseulir Masalahnya penjarahan alam indonesia sudah dilindungi undang-undang (yang sudah dipesan) dan didukung oknum yang memiliki kewenangan yang artinya mereka melakukan kolusi dengan oknum pemerintah untuk melancarkan penjarahan secara legal .""""",negative,masalah penjarahan alam indonesia lindung undang undang pes dukung oknum milik wenang arti laku kolusi oknum perintah lancar penjarahan legal
"""""@randomable_ Kalau memang penjarahan kemarin organik aku yakin tua bangka gak napak tanah ini pasti kena jarah juga rumahnya tapi karena pelakunya oknum yg mau fitnah rakyat ya loloslah dia kan temennya.""""",neutral,kalau memang penjarahan kemarin organik aku yakin tua bangka tidak napak tanah kena jarah rumah laku oknum mau fitnah rakyat lolos kan temennya
"""""@detikcom Giliran yg beginian cepet kerjanya.... Coba kalo rakyat biasa.... Apalagi para korban penjarahan Mei 1998....""""",negative,gilir begini cepet kerja coba kalo rakyat biasa korban penjarahan mei 1998
"""""@operation242153 @abcdsyxxx @pluronic123 Kalau itu sih orang kita sendiri juga bilang begitu. Jangan ngadi² nyalahin orang terus. Ini demo sudah banyak yg dukung perusakan fasum dan penjarahan. Habis itu dikit² nyalahin intel. Jangan semakin merusak image Indonesia dengan nuduh negara orang ye.""""",neutral,kalau sih orang sendiri bilang jangan ngadi nyalahin orang terus demo banyak dukung perusakan fasum penjarahan habis dikit nyalahin intel jangan makin perusakan image indonesia nuduh negara orang ye
